Transect,Point,Forest OR Grassland,Date,Wind,Rain,Cloud Cover,Start,End,Species,Distance
1,1,G,5/5/2016,1,0,60%,6:37,6:42,MIST,2
1,1,G,5/5/2016,1,0,60%,6:37,6:42,MIST,2
1,1,G,5/5/2016,1,0,60%,6:37,6:42,MIST,2
1,1,G,5/5/2016,1,0,60%,6:37,6:42,MIME,3
1,2,G,5/5/2016,2,0,50%,6:53,6:58,MIST,2
1,2,G,5/5/2016,2,0,50%,6:53,6:58,MIME,3
1,2,G,5/5/2016,2,0,50%,6:53,6:58,MIHO,3
1,3,G,5/5/2016,2,0,50%,7:11,7:16,MIHO,2
1,3,G,5/5/2016,2,0,50%,7:11,7:16,MIHO,3
1,4,G,5/5/2016,2,0,70%,7:34,7:39,MIST,3
1,4,G,5/5/2016,2,0,70%,7:34,7:39,MIST,3
1,4,G,5/5/2016,2,0,70%,7:34,7:39,MIHO,2
1,5,G,5/5/2016,2,0,70%,7:47,7:52,MIST,2
1,5,G,5/5/2016,2,0,70%,7:47,7:52,MIHO,2
1,5,G,5/5/2016,2,0,70%,7:47,7:52,MIHO,2
1,5,G,5/5/2016,2,0,70%,7:47,7:52,MIHO,3
1,6,G,5/5/2016,3,0,60%,7:59,8:04,MIHO,2
1,6,G,5/5/2016,3,0,60%,7:59,8:04,MIHO,2
1,6,G,5/5/2016,3,0,60%,7:59,8:04,MIHO,3
1,7,G,5/5/2016,3,0,50%,8:11,8:16,MIHO,2
1,8,G,5/5/2016,3,0,60%,8:24,8:30,MIHO,2
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,4
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,4
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,4
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,3
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,3
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIHO,3
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIHO,3
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIST,2
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIHO,3
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIHO,3
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIHO,3
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIME,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,3
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,3
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,3
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIHO,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIHO,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIHO,3
1,11,G,5/5/2016,2,0,50%,9:11,9:16,COKI,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,COKI,2
1,12,G,5/5/2016,2,0,40%,9:26,9:31,MIHO,2
1,12,G,5/5/2016,2,0,40%,9:26,9:31,MIHO,2
1,12,G,5/5/2016,2,0,40%,9:26,9:31,MIHO,3
1,12,G,5/5/2016,2,0,40%,9:26,9:31,MIHO,3
5,1,F,5/7/2016,3,0,40%,6:16,6:21,MIME,2
5,1,F,5/7/2016,3,0,40%,6:16,6:21,MIME,2
5,1,F,5/7/2016,3,0,40%,6:16,6:21,BRWE,3
5,1,F,5/7/2016,3,0,40%,6:16,6:21,TIMO,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIME,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIME,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIME,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIME,3
5,2,F,5/7/2016,3,0,60%,6:36,6:41,BRWE,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,BRWE,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIST,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIST,2
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIST,3
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIST,3
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIST,3
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIME,2
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIHO,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIME,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIME,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIST,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIST,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIST,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,BRWE,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,BRWE,2
5,5,F,5/7/2016,2,0,50%,7:24,7:29,MIHO,2
5,5,F,5/7/2016,2,0,50%,7:24,7:29,MIST,2
5,5,F,5/7/2016,2,0,50%,7:24,7:29,MIST,2
5,5,F,5/7/2016,2,0,50%,7:24,7:29,MIME,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIME,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIME,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIME,3
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIST,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIST,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,TIMO,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,TIMO,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIHO,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,BRWE,2
5,7,F,5/7/2016,2,0,50%,8:10,8:15,MIME,2
5,7,F,5/7/2016,2,0,50%,8:10,8:15,MIME,2
5,7,F,5/7/2016,2,0,50%,8:10,8:15,MIME,2
5,7,F,5/7/2016,2,0,50%,8:10,8:15,TIMO,2
5,8,F,5/7/2016,2,0,20%,8:26,8:31,MIME,2
5,8,F,5/7/2016,2,0,20%,8:26,8:31,MIME,2
5,8,F,5/7/2016,2,0,20%,8:26,8:31,MIME,3
5,8,F,5/7/2016,2,0,20%,8:26,8:31,MIST,3
5,8,F,5/7/2016,2,0,20%,8:26,8:31,MIHO,2
5,8,F,5/7/2016,2,0,20%,8:26,8:31,MIHO,3
5,9,F,5/7/2016,2,0,10%,8:55,9:00,MIME,2
5,9,F,5/7/2016,2,0,10%,8:55,9:00,MIME,3
5,9,F,5/7/2016,2,0,10%,8:55,9:00,MIST,3
5,9,F,5/7/2016,2,0,10%,8:55,9:00,MIST,3
5,9,F,5/7/2016,2,0,10%,8:55,9:00,MIST,2
5,9,F,5/7/2016,2,0,10%,8:55,9:00,MIHO,2
5,9,F,5/7/2016,2,0,10%,8:55,9:00,MIHO,2
5,10,F,5/7/2016,2,0,10%,9:11,9:16,MIST,3
5,10,F,5/7/2016,2,0,10%,9:11,9:16,MIST,3
5,10,F,5/7/2016,2,0,10%,9:11,9:16,MIHO,2
5,10,F,5/7/2016,2,0,10%,9:11,9:16,MIHO,2
5,10,F,5/7/2016,2,0,10%,9:11,9:16,MIHO,2
4,1,G,5/8/2016,1,0,60%,6:33,6:38,WTGD,2
4,2,G,5/8/2016,2,0,40%,6:46,6:51,MIST,2
4,2,G,5/8/2016,2,0,40%,6:46,6:51,MIST,2
4,2,G,5/8/2016,2,0,40%,6:46,6:51,MIST,2
4,3,G,5/8/2016,2,0,60%,7:01,7:06,MIHO,2
4,3,G,5/8/2016,2,0,60%,7:01,7:06,MIHO,2
4,4,G,5/8/2016,2,0,50%,7:17,7:22,MIHO,2
4,4,G,5/8/2016,2,0,50%,7:17,7:22,MIHO,2
4,4,G,5/8/2016,2,0,50%,7:17,7:22,WTGD,3
4,4,G,5/8/2016,2,0,50%,7:17,7:22,WTGD,3
4,4,G,5/8/2016,2,0,50%,7:17,7:22,WTGD,3
4,4,G,5/8/2016,2,0,50%,7:17,7:22,MIST,3
4,5,G,5/8/2016,2,0,50%,7:40,7:45,WTGD,2
4,5,G,5/8/2016,2,0,50%,7:40,7:45,WTGD,2
4,5,G,5/8/2016,2,0,50%,7:40,7:45,MIST,2
4,5,G,5/8/2016,2,0,50%,7:40,7:45,MIST,2
4,5,G,5/8/2016,2,0,50%,7:40,7:45,MIST,2
4,6,G,5/8/2016,2,0,50%,8:08,8:13,WTGD,2
4,6,G,5/8/2016,2,0,50%,8:08,8:13,MIST,2
4,6,G,5/8/2016,2,0,50%,8:08,8:13,MIST,2
4,6,G,5/8/2016,2,0,50%,8:08,8:13,MIHO,2
4,7,G,5/8/2016,2,0,50%,8:24,8:29,MIHO,2
4,7,G,5/8/2016,2,0,50%,8:24,8:29,MIHO,2
4,7,G,5/8/2016,2,0,50%,8:24,8:29,MIHO,2
4,7,G,5/8/2016,2,0,50%,8:24,8:29,MIST,2
4,7,G,5/8/2016,2,0,50%,8:24,8:29,MIST,2
4,8,G,5/8/2016,2,0,60%,8:37,8:42,MIST,2
4,8,G,5/8/2016,2,0,60%,8:37,8:42,MIST,2
4,8,G,5/8/2016,2,0,60%,8:37,8:42,MIST,3
4,8,G,5/8/2016,2,0,60%,8:37,8:42,MIHO,2
4,8,G,5/8/2016,2,0,60%,8:37,8:42,MIHO,2
4,8,G,5/8/2016,2,0,60%,8:37,8:42,MIHO,2
4,9,G,5/8/2016,2,0,50%,8:50,8:55,MIST,2
4,9,G,5/8/2016,2,0,50%,8:50,8:55,MIST,2
4,9,G,5/8/2016,2,0,50%,8:50,8:55,MIST,2
4,9,G,5/8/2016,2,0,50%,8:50,8:55,MIST,2
4,9,G,5/8/2016,2,0,50%,8:50,8:55,MIST,2
4,9,G,5/8/2016,2,0,50%,8:50,8:55,MIHO,2
4,9,G,5/8/2016,2,0,50%,8:50,8:55,COKI,2
4,9,G,5/8/2016,2,0,50%,8:50,8:55,COKI,2
4,10,G,5/8/2016,2,0,30%,9:04,9:09,MIHO,2
4,10,G,5/8/2016,2,0,30%,9:04,9:09,MIHO,2
4,10,G,5/8/2016,2,0,30%,9:04,9:09,MIHO,2
4,10,G,5/8/2016,2,0,30%,9:04,9:09,MIST,2
4,10,G,5/8/2016,2,0,30%,9:04,9:09,MIST,2
3,1,G,5/9/2016,2,0,20%,7:00,7:05,MIST,2
3,1,G,5/9/2016,2,0,20%,7:00,7:05,MIHO,2
3,1,G,5/9/2016,2,0,20%,7:00,7:05,MIME,3
3,2,G,5/9/2016,2,0,30%,7:15,7:20,MIHO,2
3,2,G,5/9/2016,2,0,30%,7:15,7:20,MIHO,2
3,2,G,5/9/2016,2,0,30%,7:15,7:20,MIST,2
3,2,G,5/9/2016,2,0,30%,7:15,7:20,MIST,2
3,2,G,5/9/2016,2,0,30%,7:15,7:20,MIST,2
3,2,G,5/9/2016,2,0,30%,7:15,7:20,WTGD,2
3,3,F,5/9/2016,2,0,20%,7:27,7:32,MIME,2
3,3,F,5/9/2016,2,0,20%,7:27,7:32,MIME,2
3,3,F,5/9/2016,2,0,20%,7:27,7:32,MIHO,2
3,3,F,5/9/2016,2,0,20%,7:27,7:32,WTGD,2
3,3,F,5/9/2016,2,0,20%,7:27,7:32,WTGD,2
3,3,F,5/9/2016,2,0,20%,7:27,7:32,MIST,2
3,4,F,5/9/2016,1,0,20%,7:47,7:52,MIME,2
3,4,F,5/9/2016,1,0,20%,7:47,7:52,MIHO,2
3,4,F,5/9/2016,1,0,20%,7:47,7:52,WTGD,2
3,5,F,5/9/2016,1,0,30%,8:11,8:16,MIST,3
3,5,F,5/9/2016,1,0,30%,8:11,8:16,MIST,3
3,5,F,5/9/2016,1,0,30%,8:11,8:16,MIST,2
3,5,F,5/9/2016,1,0,30%,8:11,8:16,MIST,2
3,5,F,5/9/2016,1,0,30%,8:11,8:16,MIHO,3
3,5,F,5/9/2016,1,0,30%,8:11,8:16,MIHO,3
3,5,F,5/9/2016,1,0,30%,8:11,8:16,MIHO,3
3,5,F,5/9/2016,1,0,30%,8:11,8:16,MIME,2
3,5,F,5/9/2016,1,0,30%,8:11,8:16,BRWE,2
3,5,F,5/9/2016,1,0,30%,8:11,8:16,BRWE,2
2,1,G,5/10/2016,2,0,50%,6:50,6:55,COKI,2
2,1,G,5/10/2016,2,0,50%,6:50,6:55,MIHO,2
2,2,G,5/10/2016,2,0,60%,7:18,7:23,MIST,2
2,2,G,5/10/2016,2,0,60%,7:18,7:23,MIST,2
2,2,G,5/10/2016,2,0,60%,7:18,7:23,MIST,2
2,2,G,5/10/2016,2,0,60%,7:18,7:23,MIST,3
2,2,G,5/10/2016,2,0,60%,7:18,7:23,COKI,3
2,2,G,5/10/2016,2,0,60%,7:18,7:23,MIHO,3
2,3,F,5/10/2016,2,0,50%,7:30,7:35,MIHO,2
2,3,F,5/10/2016,2,0,50%,7:30,7:35,MIST,2
2,3,F,5/10/2016,2,0,50%,7:30,7:35,MIST,2
2,3,F,5/10/2016,2,0,50%,7:30,7:35,MIME,2
2,3,F,5/10/2016,2,0,50%,7:30,7:35,MIME,3
2,4,F,5/10/2016,2,0,30%,7:44,7:49,MIHO,2
2,4,F,5/10/2016,2,0,30%,7:44,7:49,MIHO,2
2,4,F,5/10/2016,2,0,30%,7:44,7:49,MIST,2
2,5,F,5/10/2016,2,0,40%,7:57,8:02,MIHO,2
2,5,F,5/10/2016,2,0,40%,7:57,8:02,MIHO,2
2,5,F,5/10/2016,2,0,40%,7:57,8:02,MIHO,3
2,5,F,5/10/2016,2,0,40%,7:57,8:02,WTGD,2
2,5,F,5/10/2016,2,0,40%,7:57,8:02,WTGD,3
2,5,F,5/10/2016,2,0,40%,7:57,8:02,COKI,4
2,5,F,5/10/2016,2,0,40%,7:57,8:02,MIME,2
2,5,F,5/10/2016,2,0,40%,7:57,8:02,MIME,2
2,6,F,5/10/2016,2,0,40%,8:21,8:26,WTGD,2
2,6,F,5/10/2016,2,0,40%,8:21,8:26,WTGD,2
2,6,F,5/10/2016,2,0,40%,8:21,8:26,MIST,2
2,6,F,5/10/2016,2,0,40%,8:21,8:26,MIST,2
2,6,F,5/10/2016,2,0,40%,8:21,8:26,MIST,4
2,6,F,5/10/2016,2,0,40%,8:21,8:26,MIME,2
2,6,F,5/10/2016,2,0,40%,8:21,8:26,MIME,2
2,6,F,5/10/2016,2,0,40%,8:21,8:26,MIHO,2
2,7,F,5/10/2016,1,0,20%,9:45,9:50,MIHO,2
2,7,F,5/10/2016,1,0,20%,9:45,9:50,MIHO,2
2,7,F,5/10/2016,1,0,20%,9:45,9:50,MIHO,2
2,7,F,5/10/2016,1,0,20%,9:45,9:50,MIHO,3
2,7,F,5/10/2016,1,0,20%,9:45,9:50,MIST,3
2,7,F,5/10/2016,1,0,20%,9:45,9:50,MIST,2
2,7,F,5/10/2016,1,0,20%,9:45,9:50,MIST,2
2,8,F,5/10/2016,1,0,40%,8:53,8:58,COKI,2
2,8,F,5/10/2016,1,0,40%,8:53,8:58,MIHO,3
2,8,F,5/10/2016,1,0,40%,8:53,8:58,MIHO,3
2,8,F,5/10/2016,1,0,40%,8:53,8:58,MIST,2
2,8,F,5/10/2016,1,0,40%,8:53,8:58,WTGD,2
2,8,F,5/10/2016,1,0,40%,8:53,8:58,MIME,2
2,8,F,5/10/2016,1,0,40%,8:53,8:58,MIME,3
2,9,F,5/10/2016,1,0,20%,9:18,9:23,MIME,3
2,9,F,5/10/2016,1,0,20%,9:18,9:23,MIME,3
2,9,F,5/10/2016,1,0,20%,9:18,9:23,MIME,2
2,9,F,5/10/2016,1,0,20%,9:18,9:23,MIHO,3
2,9,F,5/10/2016,1,0,20%,9:18,9:23,MIHO,3
2,9,F,5/10/2016,1,0,20%,9:18,9:23,MIHO,3
2,9,F,5/10/2016,1,0,20%,9:18,9:23,WTGD,4
2,9,F,5/10/2016,1,0,20%,9:18,9:23,MIST,2
